Team,总投篮出手数,总三分出手数,总罚球出手数,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,投篮命中率,三分命中率,罚球命中率
29,5658.8,1268.1,1413.9,6533.7,2803,1546.5,548.6,327.7,898,0.441895808,0.348552953,0.770634415
30,7184.2,1664.1,1710.5,8120.4,3608.5,1868.7,685.4,547.1,1114.1,0.435413825,0.358512109,0.731248173
31,6735,1549.9,1844.9,7821,3366,1761.5,534.7,406.7,1170.4,0.437178916,0.352990516,0.746598732
32,6718.8,1500.5,1733.9,8030.6,3451.6,1939.4,783.7,404.2,1306.5,0.458727749,0.366277907,0.762270027
33,6745.9,1280.8,1858.7,8124.2,3423.6,1904,672.6,464.9,1201.8,0.466031219,0.345096814,0.752299995
34,6726.1,1948.8,1848.3,8488.8,3311.2,1980.3,663.1,444.5,1093.5,0.473379819,0.367456897,0.769680247
35,6534.9,1761.8,1949.5,7944.3,3502.2,1643.5,589.8,410.8,1145.6,0.448973971,0.359234873,0.733213645
36,6386.7,1917.4,2004.1,8073.2,3112.8,1709,699.8,298.2,1138.4,0.458029969,0.370032335,0.749313906
37,6798.9,1623.4,1822.2,8044.3,3474.6,1725.2,573.4,353.9,1099.2,0.450381679,0.337070346,0.746624959
38,6920.4,1505.2,1693.1,8098.1,3470.6,1841.6,621.5,342.2,1187,0.452444945,0.35131544,0.759730672
39,6990.1,2589.4,2008.7,8670.4,3597.5,1743.6,599.4,397.3,1310.4,0.444714668,0.340426354,0.787424703
40,6218.7,1118.9,1893.3,7918,3176,1924.9,677.5,345.9,1112.9,0.486661199,0.359281437,0.767812814
41,5088.2,993.6,1307.5,6070.3,2554.3,1557.2,499.6,353.4,925.2,0.459199717,0.365338164,0.776520076
42,6463.7,1380.4,1713,7817.3,3176.9,1842,652.9,363.3,1124.6,0.464424401,0.360113011,0.763747811
43,6890.9,1718.1,1694.4,7896.3,3481.5,1734,587.5,355.3,1182.7,0.433745955,0.334322798,0.780630312
44,7208.9,2033,1677.3,8321,3597.8,2012.8,681.7,290.8,1078.1,0.442106285,0.323069356,0.761759971
45,7326.2,2149.1,1926.6,8664.2,3688.4,1969.1,759.6,354.3,1113.7,0.438249024,0.331906379,0.793937506
46,6987,2744,1911.5,8852.2,3449.7,2078.1,604.9,333.4,1041.5,0.454443967,0.36053207,0.800627779
47,6862.6,2082.8,2088.7,8740.5,3323.1,1752.9,618.8,472.8,1089.7,0.456590796,0.365133474,0.809929621
48,5329.7,1530.1,1635.5,6452.2,2761.6,1334.9,616.7,275,1000.8,0.443233203,0.337167505,0.747844696
49,6688.1,2369.7,1718.1,8195.4,3334.5,1577.2,670.3,288.3,943.8,0.449036348,0.372705406,0.763750655
50,6739.8,2037.3,1681.1,8087.7,3313.1,1641.2,625.9,371.3,1030.3,0.449316003,0.375349728,0.758372494
51,6723.3,1621,1565.1,7539.3,3311.2,1744.8,579.1,376.1,1140.6,0.429030387,0.348611968,0.766149128
52,6897.5,1752.9,1747,8070.3,3622.9,1676.2,480.6,470.1,1030.4,0.439695542,0.352330424,0.803606182
53,7257.7,2019.3,1732.9,8562.2,3712.8,1781.5,592.4,459,1093.3,0.446325971,0.346555737,0.787177564
54,6767.7,1260.3,1844.1,8119.1,3418.1,1868.8,623.3,364.4,1003.1,0.462653486,0.358486075,0.775012201
55,5517.1,963.5,1200.6,6171.2,2851.6,1458.8,520.1,342.6,707.8,0.446774574,0.367306694,0.744044644
56,6892.6,1445.1,1381.9,7630.6,3383.4,1854.8,617.4,382.3,1028.8,0.444955459,0.360943879,0.72270063
57,7146.9,1853.3,1909.4,8154.2,3501.4,1792,765.6,337.1,1343.8,0.43634303,0.30998759,0.717555253
58,6782.9,2153.6,1961.3,7541.8,3513,1680.3,787.1,487.4,1383.2,0.408999101,0.322251114,0.677968694
59,6886.5,2256,1846.5,7985.5,3382.4,1762.1,684.9,501.4,1273.6,0.432512888,0.339671986,0.693744923
60,6977.6,2443.4,1810.3,8400.6,3513.7,1950.9,701.6,417.6,1331.3,0.442731025,0.339199476,0.766889466
61,6762.9,1088,1977.2,8123,3301.7,1795.4,584.5,350.3,1153.5,0.467447397,0.317647059,0.756524378
62,5154.9,1081.9,1418.4,5989.7,2761.5,1379.2,428.3,332.2,953.9,0.439833944,0.337461873,0.767625494
63,6689.7,1676.5,1831.8,7964.8,3301.1,1766.6,593.8,400.4,1074.2,0.444010942,0.34387116,0.787640572
64,6710.8,1913.3,2056,8312.2,3495.4,1737.3,570.7,345.9,1107.4,0.444864994,0.376417708,0.787645914
65,6830.2,2066.9,2020.5,8525.6,3414.7,1714,612.3,351.8,1015.1,0.456824105,0.354153563,0.787032913
66,6674.5,1912.5,2196.8,8424.1,3551.2,1538.8,633,447.4,989.7,0.450206008,0.374849673,0.779588492
67,6920,1992.3,2023.7,8776.3,3550.7,1512,681.9,414.7,969.4,0.464465318,0.359935753,0.806394228
68,6425.6,1436.6,1727.7,7793.7,3217.9,1806,501.7,352.1,1046,0.462509338,0.350897954,0.781096255
69,5336.4,1337,1393,6379.2,2725.5,1490.6,527.8,296.7,867.5,0.453770332,0.366118175,0.731873654
70,6648.5,1903.8,1618.4,8034.9,3365.2,2000.7,659.9,379.3,1170.3,0.462766037,0.366319992,0.719723183
71,6689.5,2120.2,1789.8,8277.5,3281.5,2033.4,680.6,323.7,1176.2,0.459630765,0.357560607,0.777405297
72,6696.2,2150.8,1738.3,8405.7,3328.6,2102.8,740.2,371.4,1101.5,0.466548192,0.37827785,0.778691825
73,6926.1,2335.6,1631.9,8434,3461.9,2101.6,743.2,481.9,1205.8,0.458670825,0.352928584,0.7888351
74,6920,2134.1,2037.5,8470.8,3639.1,1932,658.5,397.3,1247,0.450101156,0.348390422,0.731730061
75,6363.4,1213,2003.8,7659.5,3273.1,1722.1,525.4,431.3,1115.8,0.450482446,0.326133553,0.7562631
76,5291.6,893.2,1461.5,5741.6,2562.4,1319.9,392.8,360.2,889.3,0.414751682,0.297021944,0.743687992
77,6650.7,1398.2,2056.4,7649.6,3311.1,1582.9,595.8,478.5,1073,0.423308825,0.333786297,0.754716981
78,6736.4,1467.5,2002.8,7939.2,3492.3,1772.8,503,410.1,963.1,0.442847812,0.345758092,0.736918314
79,6926.3,1564.7,1859.4,7714.7,3597.8,1659.1,495.3,448.6,914.4,0.420498679,0.320572634,0.750242014
80,6916.9,2405.4,1932.6,8482.6,3589.8,1787.7,595.8,444.4,969.5,0.439749021,0.359732269,0.792817965
81,6996.5,2350.5,1967.4,8607.2,3579.6,1898,568.8,396.1,880.6,0.441677982,0.349372474,0.809138965
82,6290.9,1467.7,2287.3,8368.1,3454.4,1635.6,557.1,413.9,1085.1,0.482236246,0.372487566,0.772089363
83,5223.6,1029.4,1605.3,6496.9,2742.1,1322.5,587.4,356.7,967.6,0.467551114,0.367301341,0.774496979
84,6336.2,1810.6,1890.9,8439,3168.2,1893,714.6,458,1090.6,0.496890881,0.393957804,0.758316146
85,6279.4,1832.4,1877.5,8375.7,3025.6,1861,724.1,355.3,1161.7,0.500668854,0.361111111,0.759147803
86,6339.1,1660.1,1948.6,7766.8,3203.2,1612,634.6,373.3,1143.5,0.453629064,0.337690501,0.743097609
87,6699.7,1483.1,1893.1,8197.3,3623.5,1701.1,559.5,534.9,1089.1,0.470976312,0.335783157,0.743647985
88,7035.6,2224,1763.8,8464,3571.2,1735.1,593.6,476.5,1029,0.453806356,0.359982014,0.712155573
89,6404.6,2098.4,2098.8,8137.3,3539.8,1642.1,557,389.7,1193.7,0.46065328,0.367518109,0.694015628
90,5160.1,1781.9,1498,6224.2,2805.3,1322.7,454.8,266.1,925.1,0.43863491,0.37291655,0.670427236
91,6813.2,1521.2,1353.3,7643.1,3465,1840.7,521.8,347.7,1134.9,0.450023484,0.326387063,0.752752531
92,6778.2,1592.7,1719.9,7905.3,3456.1,1718.9,635.9,354.1,1166.1,0.446844295,0.353173856,0.758532473
93,6789.9,1582.5,1556.9,7843.9,3424.2,1704.4,645,305.3,1174.2,0.453187823,0.346982622,0.72535166
94,7123.9,1810.9,1651.1,8384.5,3553.1,1926.8,674.8,428.2,1113.2,0.454414015,0.35015738,0.749863727
95,7132.5,2134,1759.5,8290.7,3537.1,1833.7,581.3,390.4,1073,0.438808272,0.331490159,0.746234726
96,6891.4,1181,2005.7,7976.9,3386,1591.9,660.1,495.7,1210.1,0.441956642,0.328873836,0.742134915
97,5470.9,1075,1390.2,6183.3,2739.4,1260.5,529.5,430.5,974.5,0.44336398,0.316,0.727017695
98,6700.1,1490.6,1742.1,7640.9,3552.1,1770.6,603.3,370.1,1199.3,0.435560663,0.361532269,0.733252971
99,6925.7,1705,1714.5,8248.2,3457.9,1909.7,671.2,373.5,1163.9,0.460559943,0.378533724,0.72557597
100,6805.1,1375.7,1754.7,8083.7,3643.6,1967.9,592.4,369.2,1175.1,0.462829349,0.360107582,0.743203966
101,7019.3,1990.7,1860.3,8534.9,3431.9,2002.7,706.6,325.6,1124.4,0.461456271,0.351082534,0.72461431
102,7137.5,2036.9,1809.4,8948.3,3517.3,1968.8,706.2,333.8,1110.6,0.476231173,0.369483038,0.788327622
103,6598,1703.1,2431.1,8822.2,3437.7,1813.8,604.3,347.9,1131.1,0.476159442,0.388115789,0.767348114
104,5406.9,1319.3,1769.6,6869.7,2841.8,1587.6,540.3,331,991.8,0.475540513,0.334798757,0.735646474
105,6992.6,1511.3,2155.2,8710.9,3697.4,2006.6,754.1,532.2,1204.2,0.477905214,0.343743797,0.692882331
106,7044.8,1950.9,2158.5,8557.7,3729.7,1837.6,605.9,457.9,1267.3,0.447762889,0.361422933,0.724113968
107,7147.7,2030.3,1986.7,8315.6,3666.1,1788.8,626.1,365.5,1138.3,0.435818515,0.323203467,0.736749383
108,7003.5,1944.6,1994.6,8364.3,3656.3,1865.4,624.3,400.5,1166.6,0.441650603,0.337601563,0.758848892
109,7191.4,2358.1,1979.5,9165.5,3803.7,2070.9,557.4,323.3,1183.3,0.469769447,0.366820746,0.774943167
110,7018.2,1575.9,1987,8284.1,3636.2,1659.9,592.3,418.2,1362.9,0.43978513,0.373691224,0.762304982
111,5440.1,1420,1664.5,6460.5,2885.2,1297.8,444.2,296.6,972.5,0.432197938,0.335,0.775488135
112,6710,1474.3,2035.4,7858.2,3449.8,1840.7,703.7,399.3,1163.6,0.438181818,0.300413756,0.743637614
113,7184.9,1762.6,2308.8,8772.9,3677.4,1968.5,727.7,296.1,1113.9,0.443262954,0.339384999,0.781661469
114,6818.2,1220.5,2105,8018.2,3358.2,1780.2,666.4,321.7,1168.2,0.437006835,0.324129455,0.774869359
115,6677.7,1346.7,2215.1,8393.3,3411.7,1920.4,644.2,385.3,1180.2,0.46340806,0.340758892,0.795404271
116,6924.8,1718.3,1982.8,8662,3476.7,1936.9,659,385.1,1095.7,0.466381701,0.35197579,0.803207585
117,6607.8,1414.3,2400.7,8601.9,3508.8,1673.1,649.2,488.3,1111.7,0.462317261,0.350915647,0.821093848
118,5226.7,1315.5,1749.1,6796.3,2881.3,1225.2,498.4,535.9,1057.9,0.472382191,0.354389966,0.802812875
119,6503.6,1586.1,2207.6,8662.5,3581.9,1747.7,687.4,626.1,1212.1,0.479780429,0.378601601,0.822793984
120,6791.9,1842.2,2054.1,8704.7,3664.3,1780.8,687.8,492.7,1218.9,0.469721286,0.361035718,0.811498953
121,7118.4,1870.7,2025.8,8528.4,3902.9,1674.9,591.1,439.4,1155.6,0.447769162,0.335703213,0.750123408
122,7091.5,1953.8,2080.6,9054.7,3992.1,1889.2,599.2,494.9,1279.5,0.474709159,0.349370458,0.772325291
123,7173.4,2122.4,2120,8743.3,3832.6,1721.8,642.1,412.5,1192.8,0.452546909,0.330192235,0.741415094
124,6599.7,1509.2,1836.1,7904.2,3226.5,1735.3,658.6,365,1019.8,0.447338515,0.339186324,0.800283209
125,5421,1375.1,1425.6,6423.5,2684.5,1348.1,534.1,319.3,912.7,0.444714997,0.343974984,0.804433221
126,6715.9,1909.3,1682.8,7983.2,3347.5,1791.4,537.9,344.5,1169.3,0.446760672,0.353008956,0.775136677
127,7142.6,2066.5,1932.9,8741.2,3814.1,1903.4,443.4,389.3,1088,0.44639207,0.37386886,0.815096487
128,7046.5,2234.6,1599.6,8427.3,3758.5,1800.7,532.3,381.9,1095.7,0.451245299,0.364629016,0.795261315
129,7051.5,2332.3,1888.2,8629.1,3726.3,1755.6,555.1,372.8,1158.6,0.447677799,0.371950435,0.752939307
130,7055.9,2271.5,1942.9,8844.6,3580.4,1744.7,573.5,419.8,1076.4,0.460309812,0.375214616,0.7826445
131,6592.6,1243.4,2055,8151.1,3240.2,1911.5,630.2,485.9,1114.7,0.467327003,0.354431398,0.774841849
132,5536.5,852.4,1668,6579.8,2912.7,1428.3,547.9,379.2,898.2,0.456100424,0.317925856,0.753956835
133,6700.5,1385.4,1897.4,8033.9,3435.2,1858.1,689.1,513.2,1162.3,0.455055593,0.36545402,0.7535575
134,6653.7,1568.3,1804.3,7791.2,3391.5,1668.1,568.1,372.4,1148.5,0.443602807,0.345087037,0.750096991
135,6497.2,1775.6,1930.7,7810,3604.5,1625.4,624.8,484.9,1152.9,0.447223419,0.344615904,0.716113327
136,6602.6,1952.7,1882.6,8007.4,3557.4,1548.2,627.6,413.2,1160.7,0.44658165,0.358375583,0.741474556
137,6510,2130.7,1874.2,8250,3553.8,1647.7,548.5,406.4,1055.5,0.466221198,0.374196274,0.747625654
138,7046.9,1739.4,1710.5,8486.3,3332.7,1847.7,741.6,407.4,1160.1,0.462643148,0.392434173,0.760362467
139,5448.8,1357,1236.2,6447.3,2586.9,1460.7,525.9,361.7,887.1,0.455072677,0.387619749,0.766947096
140,6847.5,1631.1,1734.7,8290.9,3687.2,1853.5,558.7,342.2,1202,0.456137276,0.403776592,0.80036894
141,6998,2035.3,1735.2,8542.9,3722.4,1914.8,629.2,412.7,1225.4,0.462575021,0.380926645,0.749827109
142,7138.8,2215.3,1700.4,9024.5,3661.3,2243.9,762.9,495.6,1156.9,0.478707906,0.404911299,0.775641026
143,7158.2,2594.6,1798.3,9428.8,3773.1,2377.9,689.7,494.5,1225.9,0.486463077,0.413358514,0.754490352
144,7146.9,2553.2,1845.3,9493,3657.2,2481.3,775.1,559.6,1173.6,0.494759966,0.381286229,0.788327101
145,6593.3,1515.9,2185.3,8088,3455,1818.3,577.4,396.5,1272.7,0.456857719,0.339336368,0.698805656
146,5367.1,1445.4,1537,6450.2,2747.4,1389.6,554.5,312.9,825.9,0.454714837,0.360246299,0.679830839
147,6616.1,1753.4,1893.8,8288.3,3415.8,1947.4,775.7,456.1,1115.9,0.478574991,0.359473024,0.709314606
148,6767.8,1970,2386.3,8848.6,3534.5,2015.3,716.9,394.4,1095.7,0.474792399,0.352182741,0.730084231
149,6825.6,2204.5,2064.5,8751.6,3494.2,2031.4,639,405.5,956.8,0.471606892,0.378589249,0.70913054
150,6763.7,2194.9,2143,8572.5,3447.5,1871.5,725.7,474.3,1020.3,0.46413945,0.364435737,0.698973402
151,6815.9,2247.8,2136.5,8909.9,3529.9,1848.6,603.4,348.8,1020.3,0.478249387,0.373253848,0.740042125
152,6760.3,1472.2,1988.7,8315.9,3612.9,1794,604,411.6,1038.6,0.462760528,0.350088303,0.76959823
153,5324.9,1110,1585.6,6429.8,3045.7,1486.3,398.7,357.2,958.9,0.456647073,0.328378378,0.75737891
154,6637.2,2026.4,2289.7,8382.4,3681.1,1821.5,574,422.9,1210,0.457813536,0.354273589,0.69196838
155,6981.1,2029.7,1837.5,8452.8,3362.6,2017.2,608.9,453.8,1208.2,0.449628282,0.382913731,0.760870748
156,7016.9,1552.9,1931.3,8066.1,3589.7,1711.8,577.6,359.8,1022.8,0.434707634,0.341039346,0.741624812
157,6961.8,2017.9,2022.4,7977.1,3516.9,1478.7,600,348.3,1070.2,0.411229854,0.310124387,0.785403481
158,7183.9,2110.6,1844.5,8575.6,3574.9,1719.5,674.1,332.7,1202.8,0.447890422,0.343693736,0.754730279
159,6854.5,1853.2,1940,8605.2,3299.4,1941.3,544.3,350.4,1113.3,0.469778977,0.377077488,0.759536082
160,5449.1,1299.8,1399.9,6485.9,2752.1,1486.2,434.3,369.8,893.7,0.459800701,0.344360671,0.756911208
161,6924.9,1449.7,1617,7811.1,3414.7,1860.9,649.7,434,1227.6,0.442259094,0.324687866,0.745454545
162,6844.7,2057.8,2013.4,8628.6,3532.2,1571.7,694.3,371.3,1221.6,0.465659561,0.373408495,0.759709943
163,7032.3,2049.6,1758.6,8383.4,3544.3,1659.4,709.1,391,1194.7,0.45097621,0.344311085,0.771807119
164,7022.5,2120.1,1916.3,8282.6,3669.1,1705.6,638.2,310.1,1364,0.434204343,0.345549738,0.744142358
165,7260,1858.7,2167.3,8839.4,3685.7,1595,680.2,410.8,1218.7,0.451997245,0.329638995,0.772758732
166,6981.6,1274.5,1991.3,8157.5,3595.8,1663.8,619.8,393.4,1286.4,0.449710668,0.341231856,0.73138151
167,5705,1296.4,1526.5,6523.2,2830.2,1264.6,562.7,320.7,909.3,0.436336547,0.317803147,0.7438585
168,6913.9,1686,1853.8,8220.6,3316.8,1708.2,661.2,325.7,1155.6,0.445175661,0.366192171,0.769338656
169,6762.5,1483.2,2235.5,8225.9,3644.2,1546.4,582.3,316.4,1206.2,0.448665434,0.337648328,0.757951241
170,6625,1342.5,2408.6,8312.8,3613.6,1671.6,552.8,314,1281.7,0.454067925,0.346517691,0.764219879
171,7083.7,1838.8,2089.2,8737.3,3622.4,2020.6,730.2,360.4,1286.3,0.462681932,0.362138351,0.718552556
172,6729.7,1960,1904.7,8420.7,3353.2,1850.2,631.9,321.6,1165.2,0.460406853,0.380459184,0.773927653
173,6472.6,1769,1858.2,8217.8,3409.6,1958.9,561.7,357,1100.1,0.475805704,0.367043527,0.769615757
174,5423.2,1458,1340.3,6315.6,2822.6,1396.7,564.5,343.7,893.2,0.44276442,0.339026063,0.773408938
175,6883.2,1629.6,1660.8,8292,3431.1,1909.1,639,457.9,1097.9,0.461108205,0.370765832,0.789679672
176,6854.7,1857.8,1735.4,8600,3356.6,1935.1,717.1,359.1,1081.2,0.475148438,0.389869738,0.792497407
177,7049.9,2101.6,1831,8632.1,3461.7,1838.1,657.8,362.4,1030.9,0.460034894,0.352303007,0.758219552
178,6891.1,2336,1836.1,8384.7,3539.1,1815.5,555.7,300.2,1006.8,0.443456052,0.34734589,0.793475301
179,6744.3,2477.2,1520.8,8021.3,3161.9,1706.1,607.8,301.8,923.5,0.440920481,0.357540772,0.800433982
180,6975.6,1829.8,2087.5,8690.5,3512.1,1952.7,581.2,374.9,1055.7,0.454785251,0.370586949,0.800479042
181,5544.8,1323.2,1300.1,6473.6,2778.8,1397.8,502.3,331.2,919.5,0.448871014,0.36373942,0.77924775
182,6780.4,2362.5,2090.9,8690.1,3571.2,1903.4,681.4,363.5,1300.6,0.458733998,0.368804233,0.746185853
183,6606.9,2177.8,2541.8,8831.3,3707.9,1732.5,625.4,458.6,1254.4,0.472112488,0.359307558,0.716657487
184,6835.6,2691.7,2122.3,8516.2,3583.3,1816,791.1,405.3,1307.1,0.442375212,0.348181447,0.715355982
185,6845.8,2535.2,2403,8741.7,3523,1819.4,832,430.5,1261.5,0.451722224,0.346244872,0.696337911
186,7145.2,3288.5,2177.3,9457.7,3638.9,2074.3,654.7,359.4,1182.9,0.463066114,0.357488217,0.768796215
187,6792.1,922.3,1973.8,8193.2,3358,1693.8,775,444.1,1103.5,0.473034849,0.345874444,0.752355862
188,5423.9,852.5,1493.7,6270.2,2766.8,1295.4,642.5,343.5,921.8,0.447390254,0.318357771,0.762803776
189,6703.1,1113.2,1746.8,7664.9,3498.3,1718.9,701.4,435,1085,0.443660396,0.337854833,0.779367987
190,6726.6,1156.1,1671.4,7898.9,3471.1,1782.3,625.8,388,1052.3,0.464276157,0.347461292,0.745123848
191,6760.8,1248.3,1873.6,8064.9,3490.8,1788.4,718.1,352.1,1079.2,0.456543604,0.334855403,0.773484202
192,6846.2,1530,2027,8131.8,3408.4,1695,722.3,355.1,1045.7,0.440872309,0.329215686,0.779131722
193,6853,2177.5,1915,8233.2,3514.3,1753.5,642.4,338.9,1025.5,0.435050343,0.351917336,0.782193211
194,6424.7,1230.2,1895.2,7778.8,3291.6,1698.3,639.5,373.7,1008.7,0.458714026,0.364900016,0.76329675
195,5097.8,772,1405.6,5913.6,2711.2,1364.7,484.6,317.1,970.2,0.451057319,0.340673575,0.753272624
196,6599.3,1481,1635.8,7709.1,3401.2,1729.8,519.3,446,1112.5,0.447911142,0.368872384,0.782063822
197,6766.9,1297.8,1935.4,8184.5,3416.9,1750.6,652.1,525.1,1059.3,0.457772392,0.379257204,0.761134649
198,6781.9,1591.8,1805,8153,3558,1816,555.2,512.7,1034.2,0.459767912,0.366691795,0.746869806
199,7045.5,1948.7,1819.2,8440.8,3503.7,1820.9,633.9,332.1,1075.6,0.446682279,0.357417766,0.778144239
200,7131.2,2196.6,1816.2,8561.5,3578.9,1880.8,646.3,447.7,1002.5,0.449615773,0.351452244,0.74870609
201,6619.4,1732.8,1992.4,8486.6,3439.9,1839,609.9,369.9,1056.7,0.476160981,0.394794552,0.766462558
202,5459.9,1395.2,1426.3,6828.2,2846.9,1524,494.2,291.3,876.7,0.478525248,0.391341743,0.750753698
203,6678.5,1758.2,1721.1,8450.1,3400.5,2066.3,698.7,463.8,1155.8,0.479793367,0.374587646,0.791470571
204,6838.4,1770.8,1644.7,8636.4,3541.7,2049.8,597.9,421.8,1149.3,0.485990875,0.397108651,0.786952028
205,6849.1,1856.9,1743.4,8467.5,3563.8,2007.3,647.2,448.6,1100.7,0.467900892,0.365878615,0.78650912
206,6793.8,1520.3,1666,8494.6,3590.5,2022.9,679.4,493.4,1030.4,0.48522182,0.375189107,0.806482593
207,6866.2,1929.2,1815.8,8637.5,3608.6,1959.7,648.3,471.2,1062.7,0.467886167,0.389125026,0.789293975
